GEOID,total_crimes,total_violent,total_property,avg_total_crimes,avg_violent_crimes,avg_property_crimes,pop,crime_rate,violent_rate,property_rate
LONGMONT,65,NA,65,0.0028387998427741624,NA,0.0028387998427741624,90762,3.1277405111986985e-5,NA,3.1277405111986985e-5
LOUISVILLE,524,59,465,0.02288509411713325,0.0025767567803642397,0.020308337336769008,19373.666666666668,0.0011812474381273504,1.3300305123952993e-4,0.0010482443868878207
LOVELAND,9686,1619,8067,0.4230248504170852,0.07070795300694414,0.35231689741014105,70979,0.00595985926002177,9.961813072450181e-4,0.004963677952776751
MANCOS,1,NA,1,4.367384373498712e-5,NA,4.367384373498712e-5,1343,3.25196155882257e-5,NA,3.25196155882257e-5
MANITOU,1516,NA,1516,0.06620954710224047,NA,0.06620954710224047,-6,NA,NA,NA
MEAD,303,51,252,0.013233174651701096,0.002227366030484343,0.011005808621216754,3849,0.003438081229332579,5.786869395906322e-4,0.002859394289741947
MEEKER,106,28,78,0.004629427435908634,0.0012228676245796392,0.003406559811328995,2526,0.0018327107822282795,4.8411228209803604e-4,0.0013485985001302433
MESA,7653,1735,5918,0.3342359261038564,0.07577411888020265,0.25846180722365375,72321,0.004621561180070192,0.001047747111906675,0.003573814068163517
MILLIKEN,126,19,107,0.005502904310608377,8.298030309647552e-4,0.0046731012796436214,6144.666666666667,8.955578242283352e-4,1.3504443381220926e-4,7.605133904161258e-4
MINERAL,1,1,NA,4.367384373498712e-5,4.367384373498712e-5,NA,729,5.990925066527726e-5,5.990925066527726e-5,NA
MINTURN,111,21,90,0.00484779665458357,9.171507184347294e-4,0.003930645936148841,1068.8,0.004535737887896304,8.581125733857873e-4,0.0036776253145105174
MOFFAT,222,56,166,0.00969559330916714,0.0024457352491592784,0.007249858060007861,4337.8,0.002235140695552386,5.63819274553755e-4,0.0016713214209986308
MONTE,214,NA,214,0.009346202559287243,NA,0.009346202559287243,-6,NA,NA,NA
